Clave	Nombre	1990	Homicidio	Operaciones legales y de guerra	1991	Homicidio2	Operaciones legales y de guerra 2	1992	Homicidio3	Operaciones legales y de guerra 3	1993	Homicidio4	Operaciones legales y de guerra 4	1994	Homicidio5	Operaciones legales y de guerra 5	1995	Homicidio6	Operaciones legales y de guerra 6	1996	Homicidio7	Operaciones legales y de guerra 7	1997	Homicidio8	Operaciones legales y de guerra 8	1998	Homicidio9	Operaciones legales y de guerra 9	1999	Homicidio10	Operaciones legales y de guerra 10	2000	Homicidio11	Operaciones legales y de guerra 11	2001	Homicidio12	Operaciones legales y de guerra 12	2002	Homicidio13	Operaciones legales y de guerra 13	2003	Homicidio14	Operaciones legales y de guerra 14	2004	Homicidio15	Operaciones legales y de guerra 15	2005	Homicidio16	Operaciones legales y de guerra 16	2006	Homicidio17	Operaciones legales y de guerra 17	2007	Homicidio18	Operaciones legales y de guerra 18	Criminal Rivalry Deaths	2008	Homicidio19	Operaciones legales y de guerra 19	Criminal Rivalry Deaths 2	2009	Homicidio20	Operaciones legales y de guerra 20	Criminal Rivalry Deaths 3	2010	Homicidio21	Criminal Rivalry Deaths 4
05007	Cuatro CiÌönegas	6	0	0	8	0	0	6	0	0	11	4	0	6	1	0	1	0	0	5	1	0	3	0	0	3	0	0	7	0	0	9	1	0	8	1	0	7	1	0	3	0	0	2	0	0	4	0	0	7	0	0	5	0	0	0	4	0	0	0	11	1	0	6	7	1	23
05008	Escobedo	1	0	0	5	0	0	2	0	0	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	3	0	0	3	1	0	10	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	3	2	0	20
05009	Francisco I. Madero	12	1	0	26	4	0	26	11	0	30	12	0	20	3	0	13	5	0	26	5	0	23	2	0	23	3	0	26	6	0	18	2	0	23	3	0	27	5	0	15	0	0	20	1	0	31	5	0	29	0	0	20	1	0	0	24	4	0	0	42	11	0	0	44	13	2
05010	Frontera	30	10	0	43	8	0	34	7	0	30	6	0	37	5	0	19	2	0	35	5	0	33	2	0	29	4	0	29	2	0	18	1	0	24	1	0	19	1	0	30	6	0	17	0	0	19	3	0	28	4	0	49	3	0	0	28	1	0	0	30	5	0	1	29	6	0
05011	General Cepeda	12	7	0	9	4	0	7	1	0	16	3	0	10	3	0	4	0	0	7	0	0	3	0	0	3	0	0	9	0	0	6	0	0	8	0	0	4	0	0	7	0	0	4	0	0	13	3	0	10	2	0	9	1	0	0	8	1	0	0	6	1	0	0	9	1	1
05012	Guerrero	3	1	0	3	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	2	0	0	2	0	0	3	2	0	0	0	0	5	2	0	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0	0	0	2	0	0	1	1	0	0	1	0	0	0
05013	Hidalgo	2	0	0	2	1	0	0	0	0	1	0	0	2	2	0	0	0	0	3	0	0	3	2	0	1	0	0	3	2	0	1	0	0	0	0	0	0	0	0	5	2	0	3	1	0	7	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	1	0	0
05014	JimÌönez	6	0	0	5	1	0	4	0	0	10	0	0	18	3	0	7	1	0	7	3	0	11	0	0	7	0	0	5	1	0	4	2	0	11	1	0	10	0	0	5	0	0	4	0	0	13	5	0	4	2	0	11	2	0	0	10	2	0	0	7	0	0	0	9	1	1
05015	Juåárez	3	0	0	0	0	0	1	0	0	2	0	0	2	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	2	0	0	0	1	0	0	0	1	0	2
05016	Lamadrid	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2
