"","State","Municipality","Lat","Lon","Clave","ConsultsPerDoc","ConsultsPerMedUnit","DocsPerMedUnit","AvEduc05","ReadWrite05","MissReadWrite05","IndLang05","MissIndLang05","Hom06","PopMun06","PartyMunBC","Inc06","Exp06","StatePop06","StateHom06","StateGDP06"
"77","Colima","Manzanillo",19.0522222,-104.3158333,6007,1414.5,11787.1,8.3,8.4,0.935560077252035,0.00184508208028694,0.00775402645293281,0.636264929424538,11,142557.6,"PAN",419398279,419398279,584507.8,43,51426652
"78","Colima","Minatitlan",19.385179,-104.0503153,6008,1406.9,3095.2,2.2,6.8,0.905839192907368,0.000458575359217365,0.00253807106598985,0.882352941176471,2,7617.2,"PRI",30636466,30636466,584507.8,43,51426652
"79","Colima","Tecoman",18.91423,-103.875198,6009,1585.8,12355.8,7.8,6.6,0.861530810401175,0.00104201203050253,0.00825032931986781,1.01260504201681,11,101065.2,"PAN",284751682,284751682,584507.8,43,51426652
"80","Colima","Villa de alvarez",19.2637632,-103.7460904,6010,1294.9,6356.6,4.9,10.1,0.964802011313639,0.000818282081994236,0.00415115780197354,1.06424581005587,1,104088,"PRI",174419145,174419145,584507.8,43,51426652
"81","Chiapas","Acacoyagua",15.3400347,-92.6742154,7001,NA,NA,0.6,5.3,0.828988280315714,0.000876983177868134,0.00355624275222265,0.891304347826087,3,15085.2,"PRI",38531360,38531360,4394083.2,534,182807376
"82","Chiapas","Acala",16.5534979,-92.8069456,7002,NA,NA,2.4,5.3,0.775614982811733,0.00156256975757846,0.116816319414175,0.0257462686567164,0,26591.8,"PAN",60269728,60269728,4394083.2,534,182807376
"83","Chiapas","Acapetahua",15.2795299,-92.6906431,7003,NA,NA,1.1,5.4,0.80680246147975,0.000715546438963889,0.00265560939247111,0.807017543859649,8,24848,"Other",48019484,48019484,4394083.2,534,182807376
"84","Chiapas","Altamirano",16.7342989,-92.0362219,7004,NA,NA,3.9,4.5,0.695153203342618,0.00206128133704735,0.682112068965517,0.00268562401263823,1,25753,"Other",49366286,49366286,4394083.2,534,182807376
"85","Chiapas","Amatan",17.3715082,-92.8180089,7005,NA,NA,1.2,3.9,0.70514924919448,0.00182381907714755,0.156595344462732,0.0304054054054054,0,19964.6,"PAN",48551518,48551518,4394083.2,534,182807376
"86","Chiapas","Amatenango de la Frontera",15.4340018,-92.1169335,7006,NA,NA,1.1,4.7,0.787175234936429,0.000783121429887599,0.0228240886058921,0.0648330058939096,2,26186.2,"PAN-PRD",40921279,40921279,4394083.2,534,182807376
"87","Chiapas","Amatenango del Valle",16.5278042,-92.4377989,7007,NA,NA,1.3,3.3,0.639010699877214,0.000526223469566743,0.775947001868524,0.00131348511383538,2,8550.4,"PRI",21872568,21872568,4394083.2,534,182807376
"88","Chiapas","Angel Albino Corzo",15.8722857,-92.7235766,7008,NA,NA,2.2,4.9,0.741455946266298,0.00158040300276571,0.0322858785207894,0.121661721068249,1,28432,"PAN",43341674,43341674,4394083.2,534,182807376
