	1990-t	1990-h	1991-t	1991-h	1992-t	1992-h	1993-t	1993-h	1994-t	1994--h	1995-t	1995-h	1996-t	1996-h	1997-t	1997-h	1998-t	1998-h	1999-t	1999-h	2000-t	2000-h	2001-t	2001-h	2022-t	2002-h	2003-t	2003-h	2004-t	2004-h	2005-t	2005-h	2006-t	2006-h	2007-t	2007-h	2008-t	2008-h	2009-t	2009-h	2010-t	2010-h
La Barca	43	2	29	2	42	4	30	2	37	5	47	6	27	2	29	2	43	0	31	2	39	5	38	2	24	5	30	0	46	1	41	5	27	2	31	8	34	6	45	10	34	14
Bolaños	8	0	3	1	12	4	6	1	3	1	8	2	8	3	8	2	8	1	5	3	7	2	4	1	2	1	1	1	2	0	2	0	1	0	4	0	9	0	7	3	4	0
Cabo Corrientes	10	0	6	3	15	4	6	3	6	3	7	2	9	0	5	2	15	5	15	3	7	0	8	3	14	4	4	0	12	0	11	2	10	1	9	0	7	2	13	3	10	2
Casimiro Castillo	28	2	14	3	20	3	24	10	11	2	16	2	18	1	13	1	15	5	10	2	19	4	21	5	12	1	13	3	12	0	15	1	13	2	18	1	12	0	16	3	18	3
Cihuatlán	17	4	20	5	38	11	19	4	17	4	25	4	25	6	21	3	14	4	25	4	32	3	20	2	22	4	20	3	21	5	14	5	26	3	25	4	20	3	30	14	32	7
Zapotlán el Grande	56	1	71	7	69	7	59	6	54	13	51	13	40	3	58	3	46	5	51	7	47	4	47	4	43	4	56	5	36	4	54	9	56	9	38	4	49	13	47	11	49	13
Cocula	13	1	16	3	17	1	17	0	17	1	15	2	9	0	15	1	13	2	14	1	15	3	13	0	13	3	15	1	12	1	15	0	12	3	13	0	14	2	28	2	22	1
Colotlán	19	0	13	2	17	0	11	0	20	0	14	1	12	1	10	0	17	2	8	0	9	1	10	0	10	1	9	2	8	0	11	1	11	1	6	2	9	1	24	6	17	2
Concepción de Buenos Aires	7	2	3	0	5	0	0	0	9	2	1	0	6	1	2	0	3	0	4	1	5	0	3	0	5	0	0	0	7	0	3	0	1	0	2	0	3	0	2	0	7	1
Cuautitlán de García Barragán	23	8	13	3	21	6	5	5	22	8	14	7	27	13	24	16	15	4	14	2	26	7	17	3	8	2	15	3	11	1	18	4	11	5	17	7	11	3	19	4	9	4
Cuautla	4	0	2	0	1	0	1	0	5	0	3	0	0	0	2	0	4	0	3	0	0	0	3	0	3	2	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0
Cuquío	14	1	9	1	10	2	8	0	7	0	7	1	7	2	15	1	12	0	11	3	9	2	10	2	10	0	3	0	8	1	5	0	7	1	15	0	10	1	16	1	15	0
Chapala	30	7	43	7	33	3	35	3	29	3	29	12	17	2	39	2	30	7	31	5	39	4	19	0	33	6	23	7	29	6	26	2	27	1	24	2	27	4	37	7	34	9
Chimaltitán	4	2	3	0	11	2	6	4	3	1	5	1	2	1	1	1	10	1	5	0	2	0	1	1	9	2	7	1	7	1	4	0	3	1	3	1	4	1	3	0	4	0
Chiquilistlán	3	2	2	0	5	0	3	1	2	1	5	0	1	1	3	0	5	0	2	0	3	1	3	0	4	0	6	0	3	1	6	0	2	0	2	0	2	0	6	0	4	2
Degollado	17	0	19	4	17	3	11	0	16	1	11	0	9	0	16	5	9	1	14	1	7	1	10	0	6	0	4	0	14	0	15	3	12	1	11	0	14	1	10	1	19	2
Ejutla	1	0	1	0	1	0	1	0	2	0	1	1	3	1	0	0	1	0	0	0	6	1	4	0	0	0	2	1	0	0	0	0	2	0	1	0	0	0	1	0	2	0
Encarnación de Díaz	35	2	39	3	47	3	34	2	22	1	25	2	19	1	25	1	24	3	24	0	23	1	18	2	34	3	25	2	29	3	33	4	21	2	28	0	30	2	25	1	46	2
Etzatlán	24	2	11	1	9	0	3	0	14	4	12	5	14	5	16	5	9	5	19	6	8	3	11	2	11	3	9	1	12	1	8	0	22	3	16	2	14	1	8	1	8	2
El Grullo	12	1	14	3	13	5	17	5	21	0	11	3	16	3	14	4	12	3	12	3	13	4	13	1	9	2	11	2	24	3	10	1	15	3	22	0	11	3	16	4	18	3
Guachinango	5	0	9	0	4	0	2	0	3	1	6	1	2	0	6	0	5	2	1	0	1	0	4	0	2	0	0	0	2	0	1	0	3	1	3	0	1	0	5	1	7	1
Guadalajara	1348	346	1335	324	1324	246	1333	279	1086	204	1128	244	1009	242	977	172	954	154	942	145	911	138	888	123	831	124	863	130	801	116	714	97	760	86	746	79	750	133	759	147	811	253
Hostotipaquillo	15	4	9	3	8	4	10	4	4	1	3	2	11	4	5	1	2	0	8	4	9	2	2	0	5	2	4	1	13	0	6	1	5	0	2	1	6	0	8	2	5	1
Huejúcar	5	2	2	1	4	0	5	2	9	0	1	0	6	0	2	0	6	1	10	1	6	0	5	0	5	0	5	0	2	0	5	0	3	0	3	0	1	0	8	0	5	0
Huejuquilla el Alto	6	0	10	3	19	4	13	1	9	1	10	3	12	0	7	1	6	2	11	2	7	2	6	3	8	2	13	4	10	0	3	1	8	1	12	4	4	0	11	4	6	0
La Huerta	28	5	38	8	42	17	25	11	28	14	25	9	21	6	21	7	16	3	17	6	15	5	19	1	21	9	21	3	21	6	9	3	16	4	22	2	20	4	34	10	40	17
Ixtlahuacán de los Membrillos	12	1	17	5	19	3	9	0	13	1	14	5	11	0	21	0	19	1	16	1	8	1	16	1	10	2	15	1	21	3	13	2	24	3	14	1	16	0	25	4	31	4
Ixtlahuacán del Río	17	5	11	0	10	5	16	2	16	5	6	2	14	1	20	2	18	4	15	0	1	0	16	2	11	2	12	1	13	2	19	2	10	1	11	0	18	2	12	2	21	3
Jalostotitlán	17	0	13	4	26	2	14	2	17	3	13	4	13	1	21	2	19	2	16	1	16	1	21	1	21	1	17	0	13	1	19	3	10	1	19	1	17	3	15	1	10	1
Jamay	20	0	12	0	24	8	18	2	9	0	24	3	11	1	10	2	9	0	7	0	11	1	18	2	15	1	10	1	19	0	15	1	12	1	7	1	21	1	18	2	11	0
Jesús María	16	1	13	0	15	0	15	1	14	1	14	2	7	0	8	0	4	0	14	0	11	0	16	2	19	0	10	0	9	1	14	0	6	0	21	1	17	3	18	2	24	1
Jilotlán de los Dolores	11	3	7	4	7	3	7	4	8	6	9	6	8	6	11	7	9	4	7	6	6	3	6	4	6	2	8	5	8	1	7	1	8	1	4	1	2	0	7	5	6	1
Jocotepec	13	4	22	2	24	3	15	1	13	0	29	4	21	6	20	1	20	4	22	4	29	4	15	0	17	2	24	2	20	6	19	1	18	0	22	1	30	6	14	1	31	3
Juanacatlán	5	1	5	0	12	1	4	1	4	1	8	0	8	0	9	0	6	2	5	0	2	0	3	0	6	0	6	0	5	1	2	0	5	0	4	1	4	0	3	0	6	1
Juchitlán	2	0	6	1	3	0	1	0	4	0	4	2	3	0	4	0	2	1	8	1	4	0	2	0	0	0	0	0	2	0	1	0	2	0	2	0	5	0	1	0	7	1
Lagos de Moreno	102	10	126	5	118	9	126	7	98	8	71	2	78	5	63	6	65	7	82	6	75	4	77	10	73	6	66	7	82	7	91	7	87	7	65	4	69	3	85	10	90	16
El Limón	5	0	10	0	6	0	3	2	7	2	4	1	4	1	6	2	5	0	0	0	2	1	2	0	5	0	5	1	3	1	1	0	4	1	1	1	3	0	3	0	5	0
Magdalena	21	4	16	3	14	4	22	2	21	4	9	3	7	1	11	2	14	5	14	3	10	3	14	7	12	4	22	5	9	0	15	2	8	0	14	0	13	0	15	6	22	5
Santa María del Oro	2	0	2	1	3	1	7	5	6	2	3	1	3	2	2	2	2	0	1	1	2	0	2	0	3	0	1	0	3	2	0	0	0	0	3	3	0	0	1	1	3	1
La Manzanilla de la Paz	4	0	2	1	1	0	2	0	1	0	4	0	2	0	1	0	1	0	4	1	1	0	2	0	3	2	3	0	8	1	1	1	6	1	3	0	0	0	1	0	2	0
Mascota	15	5	10	2	12	0	20	4	10	3	8	2	7	1	10	3	7	0	12	6	7	1	11	0	10	1	9	1	11	0	6	1	10	2	11	1	6	1	12	2	13	5
Mazamitla	9	3	6	1	5	3	2	0	10	5	7	1	9	0	3	1	8	2	7	0	9	0	13	3	5	2	3	0	13	2	15	5	10	2	6	2	4	0	7	0	5	2
Mexticacán	3	0	8	0	4	0	11	1	10	1	1	0	4	0	2	0	2	0	3	0	9	1	2	1	4	0	3	0	0	0	5	3	3	0	3	0	2	0	4	0	5	1
Mezquitic	2	0	9	1	6	1	14	5	8	3	5	3	12	6	13	0	4	2	6	3	1	0	5	0	9	4	2	1	8	2	14	3	12	2	11	3	22	4	15	2	12	1
Mixtlán	1	0	6	3	3	1	2	1	2	1	2	0	2	0	2	2	3	3	3	0	3	0	4	0	3	0	3	0	2	0	2	0	2	0	3	0	4	1	3	0	1	0
Ocotlán	67	11	33	2	73	18	66	12	48	8	47	3	47	3	39	12	51	13	37	5	45	5	30	6	29	3	47	6	57	2	50	4	49	9	50	6	63	5	67	18	55	15
Ojuelos de Jalisco	15	0	18	0	21	3	13	1	9	0	17	1	17	3	14	1	9	1	18	0	15	2	16	1	23	0	16	0	11	0	18	0	13	0	15	1	22	1	31	5	11	0
Pihuamo	20	6	23	10	33	17	14	5	18	10	14	4	16	12	9	0	14	4	18	8	6	1	10	5	15	5	10	3	10	4	6	4	11	3	13	5	11	2	10	5	8	1
Poncitlán	24	1	21	1	26	3	34	1	23	0	35	9	22	2	27	2	24	6	32	6	15	0	28	4	24	3	25	3	28	6	36	3	30	3	41	1	34	4	40	2	20	2
Puerto Vallarta	98	17	82	15	106	27	72	14	105	22	78	24	92	24	93	16	79	13	93	7	107	20	113	20	81	12	103	18	105	15	121	17	116	13	116	17	154	39	130	29	139	44
Villa Purificación	13	7	7	5	16	7	15	8	12	5	11	3	11	6	6	2	6	2	9	5	10	2	7	1	12	4	12	3	4	1	5	0	18	10	8	1	6	2	7	2	7	1
Quitupan	6	1	12	4	9	0	24	5	5	0	12	8	8	1	7	0	6	0	7	1	12	2	6	1	8	0	11	3	4	0	6	2	5	1	8	2	9	2	9	1	10	2
El Salto	32	3	46	10	29	4	49	9	55	9	65	18	63	16	80	16	50	7	55	6	49	6	61	5	68	5	58	8	53	8	70	7	67	9	79	12	83	10	82	11	105	27
San Cristóbal de la Barranca	4	1	5	0	5	0	3	0	4	1	2	0	4	1	4	0	6	0	6	1	3	0	1	0	2	0	4	1	1	0	2	1	3	3	3	0	1	1	3	0	3	0
San Diego de Alejandría	7	1	3	1	5	1	7	2	13	2	5	1	5	0	3	1	5	0	2	0	1	0	5	0	6	0	2	0	3	0	3	0	2	0	6	0	7	0	2	0	3	1
San Juan de los Lagos	62	0	38	4	40	5	54	2	38	3	25	2	26	0	30	2	31	1	32	4	34	0	34	3	42	4	41	2	31	1	37	7	35	5	40	2	42	0	42	0	34	2
San Julián	17	0	13	4	8	2	10	2	18	5	9	0	5	0	5	0	7	0	3	0	6	1	14	0	10	3	2	0	7	1	11	0	4	2	11	0	13	1	5	0	8	0
San Marcos	1	0	3	1	3	0	4	0	0	0	1	1	0	0	7	4	4	1	3	1	0	0	4	0	8	1	2	0	3	0	3	0	2	0	1	0	1	0	4	0	5	0
San Martín de Bolaños	11	1	16	11	6	0	2	0	1	0	5	0	8	0	1	0	7	1	8	2	3	0	3	0	5	0	5	0	5	0	3	0	4	2	4	1	5	0	3	1	3	1
San Martín Hidalgo	18	3	17	2	11	0	14	1	16	2	12	2	12	2	15	0	16	3	8	0	7	0	9	1	24	0	18	0	14	1	15	1	22	7	16	2	25	2	9	1	15	0
San Miguel el Alto	24	1	17	3	20	4	21	3	17	0	13	2	19	3	20	2	20	4	18	1	16	2	14	4	20	2	16	0	19	2	20	1	23	2	17	2	22	2	25	1	25	4
Gómez Farías	5	0	8	0	10	1	8	0	9	1	4	0	15	1	7	0	10	2	8	1	5	1	4	1	5	0	9	2	7	0	6	1	7	1	8	0	7	0	7	0	14	4
San Sebastián del Oeste	8	1	7	5	6	1	11	0	10	4	1	0	7	3	5	1	7	1	5	3	4	3	1	0	2	0	2	0	4	0	6	0	4	0	2	1	8	0	10	4	11	7
Santa María de los Ángeles	8	2	5	0	4	0	3	0	1	0	4	1	6	2	3	0	7	1	5	0	1	0	3	0	4	1	3	1	4	0	4	0	3	1	2	0	1	0	1	0	3	1
Sayula	21	7	13	3	18	2	18	1	21	0	28	5	24	3	23	2	23	3	17	1	21	1	15	0	19	2	21	3	14	1	20	2	26	5	11	1	17	3	16	5	21	6
Tala	28	7	22	1	22	0	30	6	47	5	28	5	34	2	30	5	28	2	30	5	35	1	24	4	38	2	34	3	37	1	26	1	51	4	32	2	30	3	49	4	37	4
Talpa de Allende	14	4	8	3	19	5	17	6	26	6	11	5	18	9	13	4	6	3	12	0	11	2	11	2	9	1	13	5	7	1	10	1	12	5	14	3	16	5	6	4	12	6
Tamazula de Gordiano	36	5	43	10	38	13	40	10	29	6	32	10	25	8	57	13	40	3	27	3	45	5	30	6	35	4	55	9	20	2	23	7	34	4	33	5	33	2	32	5	31	4
Tapalpa	10	2	7	0	16	1	7	0	8	1	8	4	9	0	6	0	7	1	9	0	8	1	17	0	5	2	11	2	5	0	8	0	4	0	6	0	6	2	7	1	10	4
Tecalitlán	25	6	12	3	21	10	15	4	14	3	15	1	20	7	15	8	15	4	16	8	12	5	6	1	12	5	11	3	21	8	7	3	19	5	15	2	16	9	12	3	23	14
Tecolotlán	9	2	8	0	19	3	18	2	9	3	8	1	8	2	6	1	6	1	8	2	13	5	8	0	7	2	11	0	10	1	9	2	5	0	8	1	14	0	3	0	9	5
Techaluta de Montenegro	5	2	4	0	6	0	3	0	2	0	3	0	0	0	0	0	2	0	5	0	1	1	3	1	2	0	1	0	5	0	2	1	0	0	6	0	3	0	7	0	5	1
Tenamaxtlán	7	0	6	0	7	2	7	0	6	3	3	0	5	1	3	0	3	0	6	0	5	1	3	1	4	0	3	0	7	0	6	1	3	0	6	0	6	0	5	0	7	1
Teocaltiche	23	3	22	0	28	2	26	2	28	0	18	3	30	1	30	5	24	1	29	5	18	4	19	1	21	0	22	1	16	0	24	1	23	2	31	4	24	1	17	3	20	0
Teocuitatlán de Corona	8	1	9	1	12	2	8	0	14	4	4	0	10	2	9	2	7	0	7	2	11	0	5	1	11	0	14	3	5	0	11	1	9	3	2	0	8	0	16	2	7	1
Tepatitlán de Morelos	59	2	65	2	61	5	58	5	71	12	73	8	65	4	72	10	72	9	76	8	72	2	77	2	74	7	76	3	69	4	86	6	68	4	95	3	77	3	91	0	82	6
Tequila	27	12	46	16	34	10	36	17	32	11	28	1	29	6	27	12	43	8	33	7	32	6	42	16	68	12	33	4	34	4	26	2	44	10	25	4	44	5	45	22	28	8
Teuchitlán	8	1	6	0	2	0	4	1	3	0	6	0	7	1	4	0	7	0	5	0	5	2	1	0	8	0	0	0	5	0	4	0	5	0	3	0	4	0	10	0	7	2
Tizapán el Alto	26	4	14	2	14	1	18	0	17	4	12	2	19	2	9	3	15	2	11	1	13	2	11	2	13	5	13	2	13	0	20	2	12	1	7	1	21	4	21	8	19	5
Tlajomulco de Zúñiga	37	4	58	16	58	8	63	8	74	8	65	9	55	17	63	15	67	6	55	6	71	10	62	10	78	9	75	4	79	9	70	10	86	11	119	14	135	22	167	31	159	40
Tlaquepaque	206	50	193	38	170	34	239	46	244	55	225	65	223	42	256	47	231	34	286	60	232	31	232	27	263	45	283	43	242	31	231	36	235	44	283	35	267	46	295	37	308	95
Tolimán	10	0	5	0	8	2	7	1	12	3	8	4	12	4	9	1	2	1	4	1	4	0	5	1	7	0	6	0	7	0	4	0	3	0	8	2	5	0	7	0	4	1
Tomatlán	36	8	34	6	25	9	26	12	22	5	38	20	22	5	36	19	24	7	18	8	27	7	21	8	17	1	28	9	20	6	24	6	20	7	32	11	23	5	23	5	35	9
Tonalá	78	21	85	13	126	25	107	24	127	32	113	34	138	23	121	17	161	29	144	13	143	18	161	19	144	19	164	14	147	17	164	28	168	24	210	38	177	21	199	36	189	43
Tonaya	10	1	2	0	4	0	6	1	3	1	5	0	7	1	2	1	3	0	4	0	9	2	2	1	7	0	2	0	2	0	3	0	2	0	2	1	1	0	6	0	2	1
Tonila	4	0	7	0	2	0	8	2	2	0	5	2	10	0	8	0	3	1	7	0	3	0	5	0	4	0	7	1	4	1	4	0	1	0	8	0	6	0	2	0	6	0
Totatiche	8	0	8	0	2	0	7	2	5	1	4	1	5	0	2	0	8	2	2	2	4	0	5	0	4	1	6	0	6	1	2	1	6	4	6	1	4	0	5	1	1	0
Tototlán	11	4	19	2	8	0	11	0	14	1	10	1	10	2	11	3	12	1	11	4	12	1	21	4	11	1	10	1	13	1	18	1	15	1	18	4	12	3	12	1	12	3
Tuxcacuesco	10	1	3	0	5	0	6	2	5	1	3	0	9	2	2	0	0	0	7	4	0	0	6	0	1	0	7	1	2	0	1	0	2	0	1	0	5	0	7	0	4	0
Tuxcueca	5	1	3	0	9	0	5	0	8	1	5	0	3	1	3	1	7	0	1	0	2	0	3	0	2	1	3	0	7	0	5	1	7	1	7	0	6	0	4	1	2	1
Tuxpan	36	4	21	3	25	2	38	8	24	4	20	2	20	4	26	1	20	3	31	4	22	5	18	1	23	3	32	1	22	0	28	3	20	2	17	1	26	2	25	1	25	5
Unión de San Antonio	9	0	12	1	8	0	12	1	8	1	5	0	7	1	4	0	7	0	10	1	2	0	8	0	10	0	5	0	2	1	17	0	10	2	9	1	11	1	10	0	6	1
Unión de Tula	9	1	15	3	9	0	13	2	12	0	10	3	12	2	12	3	7	0	13	0	11	0	9	0	8	1	10	0	8	0	8	0	6	1	5	0	7	0	12	0	21	2
Valle de Guadalupe	11	4	2	0	2	0	1	0	6	0	4	0	2	0	3	0	2	0	10	1	5	0	6	1	1	0	1	0	10	0	5	1	3	0	7	0	5	0	5	0	4	0
Valle de Juárez	8	2	4	1	10	2	7	1	3	1	4	0	5	0	3	1	7	0	3	1	2	0	4	2	2	0	3	0	10	2	3	0	3	0	4	0	2	1	5	0	9	0
San Gabriel	11	0	12	1	14	2	7	0	19	1	9	3	15	0	13	2	14	1	5	0	9	0	10	0	6	0	9	0	6	0	13	0	9	0	13	0	15	2	15	1	11	2
Villa Corona	19	2	16	1	8	0	14	0	12	1	19	2	4	0	7	1	10	0	9	1	7	1	9	1	6	1	9	0	8	1	7	1	11	4	3	1	11	1	5	1	7	2
Villa Guerrero	4	0	9	1	13	1	4	0	4	1	5	2	7	1	4	0	9	0	4	0	2	1	5	0	6	0	10	0	2	0	2	0	10	3	6	2	5	1	6	0	9	5
Villa Hidalgo	5	0	7	0	8	0	11	0	5	1	5	0	4	1	5	0	4	0	11	2	2	0	8	1	13	0	7	0	4	0	11	0	5	0	3	0	7	0	8	0	6	0
Cañadas de Obregón	6	0	1	0	2	0	2	0	3	0	4	0	3	0	2	0	7	2	2	0	4	0	2	0	3	1	5	0	3	0	3	2	1	0	3	0	4	0	5	0	3	0
Yahualica de González Gallo	21	2	18	3	18	4	16	1	24	1	17	1	17	3	17	2	24	3	22	4	14	1	13	4	19	1	23	2	22	2	13	0	16	1	17	2	21	1	19	4	18	3
Zacoalco de Torres	17	0	24	3	10	0	17	3	24	2	16	2	18	5	14	0	20	3	13	0	12	0	20	0	13	1	13	0	18	1	28	1	14	1	18	3	17	2	22	0	18	1
Zapopan	332	115	383	88	422	85	439	92	414	89	456	94	496	132	394	76	458	82	430	67	439	73	464	68	455	69	476	77	444	57	383	63	443	64	471	62	497	84	518	102	556	156
Zapotiltic	26	1	12	4	13	0	13	1	21	1	21	0	21	3	16	2	19	0	18	4	19	2	13	2	22	2	14	4	17	4	14	2	14	1	15	4	14	0	26	2	18	5
Zapotitlán de Vadillo	6	1	6	3	9	0	11	1	13	2	14	4	8	0	8	0	8	1	4	0	8	4	9	2	10	0	5	0	6	0	5	0	5	0	6	0	5	1	9	1	5	1
Zapotlán del Rey	6	0	1	0	6	1	11	0	9	0	11	0	10	1	2	0	6	1	5	3	12	2	6	0	3	0	5	2	10	0	8	0	5	1	10	1	12	4	10	0	11	1
Zapotlanejo	41	15	34	4	43	7	49	13	36	3	40	8	34	6	17	1	39	5	34	4	34	1	45	7	51	5	31	3	35	1	27	3	20	2	35	1	32	2	30	0	62	15
San Ignacio Cerro Gordo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	0	5	1	17	1
No especificado	16	2	26	6	29	5	5	1	6	0	3	1	2	0	3	0	9	0	6	0	4	0	5	0	1	1	11	1	5	1	5	3	4	1	9	0	6	2	5	1	9	5
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otros municipios	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
México	8291	3481	7740	3475	7751	3413	7495	3373	7389	3196	6905	2832	6995	2848	6761	2576	6715	2497	6425	2237	6225	2143	6229	2029	6266	2050	6208	2031	6137	1837	6327	2127	6145	1798	6228	1339	6497	1659	6777	2002	7140	2261
Acambay	60	23	65	32	58	15	50	11	51	11	42	10	29	6	37	10	45	10	39	11	42	10	39	2	39	3	45	6	42	5	33	8	37	5	38	5	44	5	37	5	48	11
Acolman	26	10	56	22	33	12	30	9	32	10	29	13	33	15	31	13	41	18	30	16	30	9	33	15	20	5	24	7	32	10	28	7	38	8	39	8	38	14	33	10	49	16
Aculco	50	21	40	15	47	25	32	10	45	25	41	15	43	10	42	14	43	14	21	5	26	8	21	6	25	5	18	1	30	8	33	10	24	2	31	3	30	4	21	2	22	2
Almoloya de Alquisiras	7	1	20	12	12	5	15	12	11	9	12	4	16	5	11	4	11	6	17	4	11	4	8	3	11	2	8	2	10	1	9	2	11	3	9	0	10	1	11	3	7	2
Almoloya de Juárez	89	34	88	39	85	28	115	69	79	33	73	33	94	32	74	28	77	29	64	31	66	23	66	27	72	20	72	23	73	14	69	23	74	31	75	15	103	18	76	18	75	17
Almoloya del Río	7	2	4	3	3	2	3	1	2	2	2	0	4	0	6	1	4	4	5	2	4	1	4	1	4	1	4	1	3	2	4	0	7	2	2	0	7	1	3	0	6	0
Amanalco	28	11	17	10	15	6	17	8	13	6	15	9	8	3	16	7	12	4	11	3	12	2	9	0	12	4	8	1	25	4	8	4	12	2	18	3	22	2	9	1	13	6
Amatepec	63	40	33	18	49	32	33	17	27	14	36	21	45	23	22	11	21	8	25	11	15	3	18	6	19	8	30	15	21	5	21	10	21	11	19	7	21	6	12	1	15	4
Amecameca	53	34	41	18	18	10	38	10	23	11	24	9	27	8	34	12	32	12	33	13	37	12	33	10	33	12	19	5	22	1	31	10	20	7	27	0	26	5	28	6	29	11
Apaxco	13	4	13	1	9	3	12	2	13	1	9	1	11	2	9	0	7	3	7	1	6	0	7	2	9	2	4	1	11	1	12	2	11	1	11	4	13	2	11	3	9	1
Atenco	14	3	17	10	10	3	13	7	3	1	5	2	18	7	14	3	19	7	13	4	12	4	12	5	15	5	27	11	15	6	12	6	14	3	21	5	12	5	20	5	19	6
Atizapán	25	9	18	11	21	4	17	4	14	4	27	6	13	2	18	4	17	1	6	1	11	3	10	2	6	1	10	2	10	3	10	1	9	1	9	1	10	1	4	1	2	1
Atizapán de Zaragoza	169	85	168	85	188	93	187	78	198	103	173	90	215	98	169	73	201	87	207	80	185	73	177	54	184	65	204	59	172	43	185	62	147	26	159	27	175	32	204	44	208	49
Atlacomulco	50	9	44	12	56	17	42	6	43	8	43	4	35	6	42	12	32	6	45	14	45	8	41	7	45	7	40	5	49	4	28	3	47	1	36	3	45	7	33	4	56	6
Atlautla	29	7	13	4	25	10	17	7	12	8	12	4	15	5	10	2	8	2	10	3	7	2	9	3	13	3	11	4	3	1	9	3	19	7	6	0	16	6	10	2	11	2
Axapusco	13	2	11	2	3	1	19	7	16	7	12	4	11	4	7	0	9	3	11	2	11	1	8	1	5	1	12	0	5	0	5	1	11	0	10	1	25	2	10	4	13	3
Ayapango	2	0	4	1	5	3	2	0	7	3	3	2	2	1	6	2	4	3	3	0	3	1	6	4	4	0	3	1	3	0	2	0	0	0	3	1	3	0	4	0	3	0
Calimaya	19	3	26	14	22	10	16	9	23	9	12	4	21	5	19	9	19	8	14	8	18	11	19	2	22	9	11	4	15	3	24	5	14	3	14	1	18	5	28	3	19	0
Capulhuac	22	16	15	7	24	10	16	7	13	6	19	5	10	5	22	6	17	9	11	6	19	4	21	4	17	3	9	3	16	3	13	5	16	5	12	5	20	3	16	2	12	1
Coacalco de Berriozábal	71	27	81	45	86	38	86	31	90	33	82	28	83	31	67	29	86	33	75	24	75	27	81	20	72	20	97	23	80	21	76	30	63	15	65	13	93	33	107	38	92	39
Coatepec Harinas	40	17	42	17	38	21	35	10	32	14	34	9	28	6	24	8	21	11	27	4	29	7	24	5	27	4	29	9	34	3	29	5	23	9	27	6	20	2	24	8	23	4
Cocotitlán	9	1	5	3	9	5	6	1	9	4	9	3	4	2	12	6	3	1	5	1	2	0	10	3	3	2	6	0	4	1	10	1	5	3	2	0	5	2	1	0	3	0
Coyotepec	22	11	24	18	13	10	16	7	19	11	14	11	18	10	24	9	28	13	23	3	15	7	16	7	23	10	11	4	17	7	19	9	26	6	18	4	25	10	19	6	32	12
Cuautitlán	90	39	95	54	79	33	65	25	57	24	48	22	41	12	52	25	61	20	59	12	58	18	40	14	44	11	32	8	52	20	35	8	53	12	40	9	46	6	33	8	62	18
Chalco	245	101	243	110	268	106	226	103	286	131	153	53	123	41	103	32	108	35	127	41	117	40	102	32	102	31	91	31	95	39	97	38	106	34	104	25	110	20	127	42	115	40
Chapa de Mota	23	4	12	2	7	2	5	2	15	5	11	2	15	6	14	5	14	9	12	5	11	4	5	1	14	4	10	3	13	0	10	3	9	4	12	4	8	1	13	3	11	3
Chapultepec	14	11	7	3	2	1	0	0	2	0	1	1	4	1	2	1	2	0	1	0	2	1	0	0	2	0	1	0	5	0	5	2	2	1	3	0	0	0	0	0	3	3
Chiautla	5	4	6	3	12	5	6	1	7	2	6	2	5	1	4	2	8	1	12	5	8	3	6	1	4	1	4	3	5	1	9	1	11	2	8	3	7	2	14	5	12	7
Chicoloapan	62	40	38	20	47	25	32	17	40	17	49	28	37	17	42	12	52	18	49	14	40	16	53	29	45	16	66	26	64	14	61	19	60	21	65	15	82	21	69	21	79	23
Chiconcuac	9	3	11	3	2	0	7	2	7	3	11	4	7	3	6	0	8	4	11	5	5	1	15	5	7	3	7	2	6	1	8	2	8	2	14	2	7	3	12	3	9	3
Chimalhuacán	184	108	178	112	219	136	202	101	225	105	241	126	290	153	249	130	238	106	249	121	244	111	244	125	250	89	198	84	215	70	251	77	252	80	199	56	243	61	263	84	287	111
Donato Guerra	22	16	21	11	22	14	18	10	21	7	22	13	16	14	23	10	25	11	20	9	11	1	10	4	16	1	27	4	19	5	15	3	18	4	15	4	19	3	29	8	10	3
Ecatepec de Morelos	884	363	955	346	972	404	896	396	904	396	865	328	819	325	793	299	820	307	758	261	746	269	757	246	681	267	701	278	668	239	728	273	655	191	648	165	757	247	736	307	852	378
Ecatzingo	5	2	6	0	3	1	10	4	2	2	6	2	4	3	4	1	5	3	6	0	7	0	4	0	8	5	6	3	1	0	6	3	1	0	9	2	1	0	4	2	7	2
Huehuetoca	23	12	14	7	22	15	21	10	23	13	14	7	16	9	25	7	26	9	13	5	18	9	16	8	24	7	18	4	19	5	24	6	37	10	28	3	31	12	24	10	47	6
Hueypoxtla	16	0	6	1	9	1	13	3	13	4	15	3	12	3	17	3	13	6	16	2	13	2	19	5	10	1	18	6	14	2	15	1	15	2	11	2	21	4	13	1	22	2
