Nombre	1990 E	1990 I	1990 T	1990 H	1991 E	1991 I	1991 T	1991 H	1992 E	1992 I	1992 T	1992 H	1993 E	1993 I	1993 T	1993 H	1994 E	1994 I	1994 T	1994 H	1995 E	1995 I	1995 T	1995 H	1996 E	1996 I	1996 T	1996 H	1997 E	1997 I	1997 T	1997 H	1998 E	1998 I	1998 T	1998 H	1999 E	1999 I	1999 T	1999 H	2000 E	2000 I	2000 T	2000 H	2001 E	2001 I	2001 T	2001 H	2002 E	2002 I	2002 T	2002 H	2003 E	2003 I	2003 T	2003 H	2004 E	2004 I	2004 T	2004 H	2005 E	2005 I	2005 T	2005 H	2006 E	2006 I	2006 T	2006 H	2007 E	2007 I	2007 T	2007 H	2008 E	2008 I	2008 T	2008 H	2009 E	2009 I	2009 T	2009 H	2010E	2010 I	2010 T	2010 H
Acuña	9791993	9791993	9	7	14775560	14775560	58	13	14424927	14424927	35	8	14910290	14910290	35	9	16515470	16515470	50	13	14839614	14839614	44	7	21849415	21849415	49	8	38009112	38009112	55	15	56686747	56686747	61	8	76512014	76512014	50	9	88383403	88383403	56	13	116602951	116602951	47	8	136510049	136510049	39	7	156944248	156944248	54	9	177290730	177290730	56	19	205990511	205990511	51	6	213680437	213680437	51	9	237687651	237687651	45	3	344154837	344154837	62	7	384487488	384487488	61	8	305529325	305529325	65	6
Agua Blanca de Iturbide	573266	573266	9	6	843228	843228	8	2	1407400	1407400	11	3	1641902	1641902	6	4	1913727	1913727	9	2	2100592	2100592	9	4	2828099	2828099	13	6	3724784	3724784	8	2	8091003	8091003	9	2	10298121	10298121	5	1	13017819	13017819	6	1	14980950	14980950	4	1	15084713	15084713	9	0	16124581	16124581	7	2	17232192	17232192	9	0	18726398	18726398	4	1	21455981	21455981	5	0	24649828	24649828	10	2	43065002	43065002	7	0	40363332	40363332	9	0	27850893	27850893	8	1
Agua Dulce	3220	3220	9	7	3864	3864	31	2	1549414	1549414	25	9	3773235	3773235	16	6	7517430	7517430	32	8	8549962	8549962	21	4	11432398	11432398	22	3	13644273	13644273	33	3	18802031	18802031	28	3	23643857	23643857	20	0	27463133	27463133	23	2	12900589	12900589	18	4	53225001	53225001	23	2	0	0	20	5	57890549	57890549	20	5	69528198	69528198	27	4	74369489	74369489	10	1	88044671	88044671	16	1	130243222	130243222	22	3	146401913	146401913	34	2	150252245	150252245	19	1
Agua Prieta	8321248	8321248	9	11	9364250	9364250	30	7	12659615	12659615	37	11	10988055	10988055	47	14	11856396	11856396	37	8	18630719	18630719	46	11	22223439	22223439	52	17	27812498	27812498	51	15	59884915	59884915	40	13	68214160	68214160	58	17	60529474	60529474	74	17	99973735	99973735	43	13	84618986	84618986	40	10	87677510	87677510	36	7	103016932	103016932	71	21	134029983	134029983	50	14	127120544	127120544	37	10	126068265	126068265	46	13	135733758	135733758	55	19	135189071	135189071	60	17	214690539	214690539	62	19
Agualeguas	8048468	8048468	9	0	3914110	3914110	4	0	6813729	6813729	5	0	3571655	3571655	3	0	501808	501808	2	0	4047680	4047680	3	0	4282750	4282750	8	0	4459143	4459143	0	0	7379089	7379089	4	0	10621659	10621659	3	0	11883418	11883418	2	0	15975198	15975198	2	0	21778835	21778835	4	0	19587907	19587907	2	0	17272052	17272052	1	1	19404859	19404859	3	1	24908498	24908498	1	1	0	0	1	0	30233107	30233107	4	1	33236692	33236692	6	1	25335216	25335216	5	3
Aguascalientes	110807595	110807595	9	33	128637807	128637807	361	34	170330798	170330798	302	23	209194796	209194796	284	24	216684135	216684135	317	24	259538113	259538113	269	30	348181677	348181677	257	22	464687761	464687761	250	19	714698337	714698337	239	24	927533072	927533072	277	15	1106128198	1106128198	282	13	1365287658	1365287658	280	17	1323440064	1323440064	348	23	1629174273	1629174273	320	13	1705931572	1705931572	319	14	2125625470	2125625470	341	16	2485940030	2485940030	329	19	2578819504	2578819504	338	36	3147364542	3147364542	343	47	3118861591	3118861591	359	47	3159849294	3159849294	359	67
Aguascalientes	87210649	87210649	9	33	92990789	92990789	361	34	132368289	132368289	302	23	168572000	168572000	284	24	167020000	167020000	317	24	202580000	202580000	269	30	257575559	257575559	257	22	346563843	346563843	250	19	510385044	510385044	239	24	663435442	663435442	277	15	811872821	811872821	282	13	1010405686	1010405686	280	17	925895349	925895349	348	23	1180236364	1180236364	320	13	1199858349	1199858349	319	14	1522320071	1522320071	341	16	1738395172	1738395172	329	19	1785561921	1785561921	338	36	2201630291	2201630291	343	47	2075959176	2075959176	359	47	2149053031	2149053031	359	67
Aguililla	1508116	1508116	9	27	2024343	2024343	32	21	2958652	2958652	34	23	3140738	3140738	41	29	3598075	3598075	29	16	4241783	4241783	25	14	4952705	4952705	21	17	6950308	6950308	27	17	3822563	3822563	23	15	20681773	20681773	21	14	28558736	28558736	11	2	33914110	33914110	22	13	34173666	34173666	20	10	41389352	41389352	20	11	42381538	42381538	33	17	48087035	48087035	44	23	52868069	52868069	56	44	55425841	55425841	21	9	69819390	69819390	32	16	74688870	74688870	30	19	83579484	83579484	20	14
Ahome	31734502	31734502	9	29	44347861	44347861	146	26	56859476	56859476	178	33	62531197	62531197	200	55	74103509	74103509	178	37	84096579	84096579	188	45	95099575	95099575	158	33	151346002	151346002	184	40	198837938	198837938	180	37	261234631	261234631	165	34	307474452	307474452	176	34	383777383	383777383	175	29	382445940	382445940	169	20	447508924	447508924	172	22	480627416	480627416	190	17	531678739	531678739	238	24	596537848	596537848	205	31	777424697	777424697	225	42	816661881	816661881	213	37	877033910	877033910	290	91	970496486	970496486	499	289
Ahuacatlán	2002526	2002526	9	3	3901726	3901726	5	3	4491456	4491456	2	0	4968469	4968469	5	2	4602400	4602400	8	1	5186078	5186078	9	0	7304633	7304633	4	0	7742436	7742436	4	0	13375010	13375010	8	3	9992146	9992146	2	0	22365334	22365334	8	2	24783475	24783475	10	3	22668164	22668164	13	0	27529406	27529406	11	1	29968840	29968840	4	1	41535396	41535396	5	0	46641647	46641647	10	1	51983479	51983479	9	1	58070310	58070310	9	1	52828903	52828903	4	0	61390971	61390971	8	3
